FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QA_QC
1239, ,C0015, ,POINT,UNCLASSIFIED,DHL EXPRESS - INDIANAPOLIS,800,225-5345,2905 FORTUNE CIRCLE WEST, ,INDIANAPOLIS,IN,46241,5561,MARION,18097, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 130090498,TGS,-86.26073,39.72325,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1240, ,C0124, ,POINT,UNCLASSIFIED,DHL EXPRESS - SPRINGDALE,800,225-5345,327 EAST ROBINSON AVENUE, ,SPRINGDALE,AR,72764,7127,WASHINGTON,05143, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124065230,TGS,-94.12953,36.16685,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1241, ,C0032, ,POINT,UNCLASSIFIED,DHL EXPRESS - COVINGTON,800,225-5345,13384 SEYMOUR MEYERS DRIVE, ,COVINGTON,LA,70433,6875,ST TAMMANY,22103, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  27788946,TGS,-90.17697,30.45337,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1242, ,E0287, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED ROCHESTER TERMINAL,866,550-3704,3530 UNITED STATES HIGHWAY 63 SOUTH, ,ROCHESTER,MN,55904, ,OLMSTED,27109,LOCATED ON THE NE CORNER OF US HWY 63 S AND AND WOODLAKE DR SE., , , ,2006/09/18 00:00:00+00,PHONE,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  88477708,TGS,-92.46232,43.97163,NAVTEQ,2006Q2,ONENTITY,NO,TGS
1243, ,E0122, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED - LAFAYETTE TERMINAL,901,348-1600,207 NORTH BERNARD ROAD, ,BROUSSARD,LA,70518,3202,LAFAYETTE,22055,LOCATED ON THE NW SIDE OF N BERNARD RD BETWEEN GARBER RD AND US HWY 90., , , ,2006/09/18 00:00:00+00,PHONE,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  99653020,TGS,-91.96927,30.16413,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1244, ,E0156, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED - MEMPHIS TERMINAL,901,348-1600,3310 GILL ROAD, ,MEMPHIS,TN,38109,2900,SHELBY,47157,FACILITY LOCATED AT THE NORTHEAST CORNER OF GILL ROAD AND EAST MITCHELL ROAD., , , ,2006/09/13 00:00:00+00,PHONE,2006/09/13 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  24945033,TGS,-90.05661,35.0564,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1245, ,G0264, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - FORREST CITY,800,742-5877,1690 LINDAUER RD, ,FORREST CITY,AR,72335,2529,ST FRANCIS,05123, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 100079176,TGS,-90.77138,35.01466,NAVTEQ,2006Q2,BLOCKFACE, , 
1246, ,C0067, ,POINT,UNCLASSIFIED,DHL EXPRESS - KANSAS CITY, , ,10600 N POMONA AVENUE, ,KANSAS CITY,MO,64153,1906,PLATTE,29165, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  25137369,TGS,-94.67147,39.28566,NAVTEQ,2006Q2,BLOCKFACE, , 
1247, ,C0125, ,POINT,UNCLASSIFIED,DHL EXPRESS - FORT SMITH,800,225-5345,4700 PHOENIX AVENUE, ,FORT SMITH,AR,72903,6010,SEBASTIAN,05131, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  18106609,TGS,-94.38117,35.33781,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1248, ,C0338, ,POINT,UNCLASSIFIED,DHL EXPRESS - LA CROSSE, , ,2842 FANTA REED RD, ,LA CROSSE,WI,54603,1225,LA CROSSE,55063, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 108516825,TGS,-91.2547,43.86913,NAVTEQ,2006Q2,BLOCKFACE, , 
1249, ,A0147, ,POINT,UNCLASSIFIED,"ABF FREIGHT SYSTEM - LUFKIN, TEXAS",936,634-5506,752 FARM TO MARKET ROAD 2021, ,LUFKIN,TX,75901, ,ANGELINA,48005,LOCATED ON THE EAST SIDE OF FARM TO MARKET ROAD 2021 0.13 MILES SOUTH OF THE T INTERSECTION OF FARM TO MARKET ROAD 2021 AND RAY FISHER ROAD., , , ,2006/09/22 00:00:00+00,PHONE,2006/09/22 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",4841,GENERAL FREIGHT TRUCKING, 103541056,TGS,-94.70108,31.37762,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
1250, ,C0021, ,POINT,UNCLASSIFIED,DHL EXPRESS - LAFAYETTE, , ,445 MORLAND DRIVE, ,LAFAYETTE,IN,47905,4715,TIPPECANOE,18157, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103293078,TGS,-86.85341,40.41272,NAVTEQ,2006Q2,BLOCKFACE, , 
1251, ,G0510, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - LUFKIN,800,742-5877,2805 SOUTH 1ST STREET, ,LUFKIN,TX,75901,7167,ANGELINA,48005, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 122195941,TGS,-94.72857,31.29243,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1252, ,C0033, ,POINT,UNCLASSIFIED,DHL EXPRESS - LAFAYETTE, , ,110 MATRIX LOOP, ,LAFAYETTE,LA,70507,5313,LAFAYETTE,22055, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  99635842,TGS,-92.03836,30.27362,NAVTEQ,2006Q2,BLOCKFACE, , 
1253, ,E0269, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED- SPENCER TERMINAL,651,452-0338,216 EAST MILWAUKEE STREET, ,SPENCER,IA,51301,4420,CLAY,19041,LOCATED ON THE S SIDE OF E MILWAUKEE ST BETWEEN 2ND AVE E AND 3RD AVE E., , , ,2006/09/15 00:00:00+00,PHONE,2006/09/15 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  96171316,TGS,-95.1414,43.1445,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1254, ,G0362, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - BLOOMINGTON,800,742-5877,2020 CABINTOWN RD, ,BLOOMINGTON,IL,61701,9723,MCLEAN,17113, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 130095034,TGS,-89.01755,40.44812,NAVTEQ,2006Q2,BLOCKFACE, , 
1255, ,G1020, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - GUTHRIE CENTER,800,742-5877,102 INDUSTRIAL RD, ,GUTHRIE CENTER,IA,50115,8826,GUTHRIE,19077, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 125637009,TGS,-94.48738,41.67774,NAVTEQ,2006Q2,BLOCKFACE, , 
1256, ,G0112, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - HATTIESBURG,800,742-5877,116 INDUSTRIAL DR, ,HATTIESBURG,MS,39401,2848,FORREST,28035, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  99379605,TGS,-89.32007,31.34364,NAVTEQ,2006Q2,BLOCKFACE, , 
1257, ,G0137, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - BOURBON,800,742-5877,12361 ELM RD, ,BOURBON,IN,46504,9608,MARSHALL,18099, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103225467,TGS,-86.13556,41.29828,NAVTEQ,2006Q2,BLOCKFACE, , 
1258, ,G0768, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - LANSING,800,742-5877,5800 ENTERPRISE DR, ,LANSING,MI,48911,4107,INGHAM,26065, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  19660129,TGS,-84.52822,42.67342,NAVTEQ,2006Q2,BLOCKFACE, , 
1259, ,G0189, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - BOWLING GREEN,800,742-5877,1411 BUSINESS HIGHWAY 54 WEST, ,BOWLING GREEN,MO,63334,1026,PIKE,29163, , , , ,2006/09/12 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124798396,TGS,-91.20859,39.34861,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1260, ,C0123, ,POINT,UNCLASSIFIED,DHL EXPRESS - JONESBORO,800,225-5345,6561 STATE HIGHWAY 1 SOUTH, ,JONESBORO,AR,72404, ,CRAIGHEAD,05031, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 126843502,TGS,-90.6694,35.79006,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1261, ,G0207, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - BOWLING GREEN,800,742-5877,150 TURNER CT, ,BOWLING GREEN,KY,42101,5319,WARREN,21227, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 107206419,TGS,-86.48351,36.96309,NAVTEQ,2006Q2,BLOCKFACE, , 
1262, ,H0046, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - CHATTANOOGA,706,861-0611,347 ROADWAY DRIVE, ,RINGGOLD,GA,30736,8416,CATOOSA,13047,"LOCATED ON THE SOUTH SIDE OF ROADWAY DRIVE, 0.42 MILES WEST OF THE T INTERSECTION OF ROADWAY DRIVE AND CLOUD SPRINGS ROAD.", , , ,2006/09/18 00:00:00+00,PHONE,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 123727090,TGS,-85.20168,34.96363,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1263, ,H0042, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - CEDAR RAPIDS,319,363-2442,4601 J STREET SOUTHWEST, ,CEDAR RAPIDS,IA,52404,4902,LINN,19113,"LOCATED ON THE EAST SIDE OF J STREET SOUTHWEST, 0.11 MILES NORTH OF THE T INTERSECTION OF J STREET SOUTHWEST AND LEGION COURT SOUTHWEST.", , , ,2006/09/20 00:00:00+00,PHONE,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 114496685,TGS,-91.66594,41.93316,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1264, ,B0288, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - PENSACOLA FLORIDA,850,505-0699,141 INDUSTRIAL BOULEVARD, ,PENSACOLA,FL,32505,2201,ESCAMBIA,12033,LOCATED ON THE SOUTHEAST SIDE OF INDUSTRIAL BOULEVARD BETWEEN NORTH W STREET AND PENSACOLA BOULEVARD., , , ,2006/09/13 00:00:00+00,PHONE,2006/09/13 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 122631323,TGS,-87.25363,30.4747,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1265, ,C0022, ,POINT,UNCLASSIFIED,DHL EXPRESS - LENEXA, , ,14915 W 106TH STREET, ,LENEXA,KS,66215,2042,JOHNSON,20091, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  25039115,TGS,-94.75852,38.93637,NAVTEQ,2006Q2,BLOCKFACE, , 
1266, ,C0287, ,POINT,UNCLASSIFIED,DHL EXPRESS - TEXARKANA,800,225-5345,1015 SOUTH LELIA AVENUE, ,TEXARKANA,TX,75501,6920,BOWIE,48037,SOUTH SIDE OF SOUTH LELIA AVENUE .05 MILES SOUTH OF SOUTH 9TH STREET, , , ,2006/09/25 00:00:00+00,PHONE,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103954137,TGS,-94.05529,33.40867,NAVTEQ,2006Q2,ONENTITY,NO,TGS
1267, ,E0307, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED - MADISON TERMINAL,608,221-9002,2573 PROGRESS ROAD, ,MADISON,WI,53716,3326,DANE,55025,"LOCATED ON THE EAST SIDE OF PROGRESS ROAD, .03 MILES NORTH OF ADVANCE ROAD.", , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  88023265,TGS,-89.30113,43.05936,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
1268, ,D0056, ,POINT,UNCLASSIFIED,FEDEX - SOUTH HOLLAND, , ,17170 WESTVIEW AVENUE, ,SOUTH HOLLAND,IL,60473,2739,COOK,17031, , , , ,2006/09/11 00:00:00+00,WEB,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  19880248,TGS,-87.62904,41.58421,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1269, ,E0242, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED-DANVILLE TERMINAL,217,446-2921,188 EASTGATE COURT, ,DANVILLE,IL,61834,9328,VERMILION,17183,LOCATED ON THE SW CORNER OF EASTGATE CT AND EASTGATE DR., , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 103036762,TGS,-87.54122,40.11908,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1270, ,C0059, ,POINT,UNCLASSIFIED,DHL EXPRESS - TRAVERSE CITY, , ,887 LYNCH DR, ,TRAVERSE CITY,MI,49686,4837,GRAND TRAVERSE,26055, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  20130186,TGS,-85.59385,44.73038,NAVTEQ,2006Q2,BLOCKFACE, , 
1271, ,E0116, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED BOWLING GREEN TERMINAL,270,781-9065,543 PLUM SPRINGS LOOP, ,BOWLING GREEN,KY,42101,9114,WARREN,21227,LOCATED ON THE NW CORNER OF COMMERCE ST AND PLUM SPRINGS LOOP., , , ,2006/09/14 00:00:00+00,PHONE,2006/09/14 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 107162541,TGS,-86.38418,37.01336,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1272, ,C0070, ,POINT,UNCLASSIFIED,DHL EXPRESS - TUPELO, , ,430-A ROBERT E LEE DRIVE, ,TUPELO,MS,38801,5532,LEE,28081, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  99777455,TGS,-88.70992,34.24932,NAVTEQ,2006Q2,BLOCKFACE, , 
1273, ,G0294, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - FARIBAULT,800,742-5877,1820 6TH STREET NORTHWEST, ,FARIBAULT,MN,55021,4610,RICE,27131, , , , ,2006/09/14 00:00:00+00,WEB,2006/09/14 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 122610799,TGS,-93.29623,44.29694,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1274, ,C0016, ,POINT,UNCLASSIFIED,DHL EXPRESS - INDIANAPOLIS, , ,7740 JOHNSON ROAD, ,INDIANAPOLIS,IN,46250,2079,MARION,18097, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  20087829,TGS,-86.05114,39.89464,NAVTEQ,2006Q2,BLOCKFACE, , 
1275, ,C0122, ,POINT,UNCLASSIFIED,DHL EXPRESS - LITTLE ROCK, , ,4001 PRATT REMMEL RD, ,LITTLE ROCK,AR,72206,3887,PULASKI,05119, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 112340383,TGS,-92.21143,34.71234,NAVTEQ,2006Q2,BLOCKFACE, , 
1276, ,E0153, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED - COOKEVILLE TERMINAL,931,528-2663,30 CC CAMP ROAD, ,COOKEVILLE,TN,38501,4468,PUTNAM,47141,"LOCATED ON THE EAST SIDE OF CC CAMP ROAD, BETWEEN WEST BROAD STREET AND WEST JACKSON STREET.", , , ,2006/09/12 00:00:00+00,PHONE,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  98630843,TGS,-85.5403,36.17171,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
1277, ,C0026, ,POINT,UNCLASSIFIED,DHL EXPRESS - LOUISVILLE, , ,3104 PRESTON HWY, ,LOUISVILLE,KY,40213,1108,JEFFERSON,21111, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  38682120,TGS,-85.7364,38.20447,NAVTEQ,2006Q2,BLOCKFACE, , 
